Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,284750,0.05,0.1,0.1,2278,2278,1.2,0,5,5,5,5,1,1,1,1,1,1
2,278464,0.05,0.1,0.1,2228,2228,1.2,0,5,5,5,5,1,1,1,1,1,1
3,272179,0.05,0.1,0.1,2177,2177,1.2,0,5,5,5,5,1,1,1,1,1,1
4,265893,0.05,0.1,0.1,2127,2127,1.2,0,5,5,5,5,1,1,1,1,1,1
5,259607,0.05,0.1,0.1,2077,2077,1.2,0,5,5,5,5,1,1,1,1,1,1
6,253321,0.05,0.1,0.1,2027,2027,1.2,0,5,5,5,5,1,1,1,1,1,1
7,247036,0.05,0.1,0.1,1976,1976,1.2,0,5,5,5,5,1,1,1,1,1,1
8,240750,0.05,0.1,0.1,1926,1926,1.2,0,5,5,5,5,1,1,1,1,1,1
9,234464,0.05,0.1,0.1,1876,1876,1.2,0,5,5,5,5,1,1,1,1,1,1
10,228179,0.05,0.1,0.1,1825,1825,1.2,0,5,5,5,5,1,1,1,1,1,1
11,221893,0.05,0.1,0.1,1775,1775,1.2,0,5,5,5,5,1,1,1,1,1,1
12,215607,0.05,0.1,0.1,1725,1725,1.2,0,5,5,5,5,1,1,1,1,1,1
13,209321,0.05,0.1,0.1,1675,1675,1.2,0,5,5,5,5,1,1,1,1,1,1
14,203036,0.05,0.1,0.1,1624,1624,1.2,0,5,5,5,5,1,1,1,1,1,1
15,196750,0.05,0.1,0.1,1574,1574,1.2,0,5,5,5,5,1,1,1,1,1,1
16,95875,0.05,0.1,0.1,767,767,1.2,0,5,5,5,5,1,1,1,1,1,1
