Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,319250,0.05,0.1,0.1,2554,2554,1.2,0,5,5,5,5,1,1,1,1,1,1
2,314052.6316,0.05,0.1,0.1,2512,2512,1.2,0,5,5,5,5,1,1,1,1,1,1
3,308855.2632,0.05,0.1,0.1,2471,2471,1.2,0,5,5,5,5,1,1,1,1,1,1
4,303657.8947,0.05,0.1,0.1,2429,2429,1.2,0,5,5,5,5,1,1,1,1,1,1
5,298460.5263,0.05,0.1,0.1,2388,2388,1.2,0,5,5,5,5,1,1,1,1,1,1
6,293263.1579,0.05,0.1,0.1,2346,2346,1.2,0,5,5,5,5,1,1,1,1,1,1
7,288065.7895,0.05,0.1,0.1,2305,2305,1.2,0,5,5,5,5,1,1,1,1,1,1
8,282868.4211,0.05,0.1,0.1,2263,2263,1.2,0,5,5,5,5,1,1,1,1,1,1
9,277671.0526,0.05,0.1,0.1,2221,2221,1.2,0,5,5,5,5,1,1,1,1,1,1
10,272473.6842,0.05,0.1,0.1,2180,2180,1.2,0,5,5,5,5,1,1,1,1,1,1
11,267276.3158,0.05,0.1,0.1,2138,2138,1.2,0,5,5,5,5,1,1,1,1,1,1
12,262078.9474,0.05,0.1,0.1,2097,2097,1.2,0,5,5,5,5,1,1,1,1,1,1
13,256881.5789,0.05,0.1,0.1,2055,2055,1.2,0,5,5,5,5,1,1,1,1,1,1
14,251684.2105,0.05,0.1,0.1,2013,2013,1.2,0,5,5,5,5,1,1,1,1,1,1
15,246486.8421,0.05,0.1,0.1,1972,1972,1.2,0,5,5,5,5,1,1,1,1,1,1
16,241289.4737,0.05,0.1,0.1,1930,1930,1.2,0,5,5,5,5,1,1,1,1,1,1
17,236092.1053,0.05,0.1,0.1,1889,1889,1.2,0,5,5,5,5,1,1,1,1,1,1
18,230894.7368,0.05,0.1,0.1,1847,1847,1.2,0,5,5,5,5,1,1,1,1,1,1
19,225697.3684,0.05,0.1,0.1,1806,1806,1.2,0,5,5,5,5,1,1,1,1,1,1
20,220500,0.05,0.1,0.1,1764,1764,1.2,0,5,5,5,5,1,1,1,1,1,1
21,95875,0.05,0.1,0.1,767,767,1.2,0,5,5,5,5,1,1,1,1,1,1
