Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,252250,0.05,0.1,0.1,2018,2018,1.2,0,5,5,5,5,1,1,1,1,1,1
2,243625,0.05,0.1,0.1,1949,1949,1.2,0,5,5,5,5,1,1,1,1,1,1
3,234875,0.05,0.1,0.1,1879,1879,1.2,0,5,5,5,5,1,1,1,1,1,1
4,226250,0.05,0.1,0.1,1810,1810,1.2,0,5,5,5,5,1,1,1,1,1,1
5,217625,0.05,0.1,0.1,1741,1741,1.2,0,5,5,5,5,1,1,1,1,1,1
6,208875,0.05,0.1,0.1,1671,1671,1.2,0,5,5,5,5,1,1,1,1,1,1
7,200250,0.05,0.1,0.1,1602,1602,1.2,0,5,5,5,5,1,1,1,1,1,1
8,191625,0.05,0.1,0.1,1533,1533,1.2,0,5,5,5,5,1,1,1,1,1,1
9,182875,0.05,0.1,0.1,1463,1463,1.2,0,5,5,5,5,1,1,1,1,1,1
10,174250,0.05,0.1,0.1,1394,1394,1.2,0,5,5,5,5,1,1,1,1,1,1
11,55500,0.05,0.1,0.1,444,444,1.2,0,5,5,5,5,1,1,1,1,1,1
