Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,252250,0.05,0.1,0.1,2018,2018,1.2,0,5,5,5,5,1,1,1,1,1,1
2,248144.7368,0.05,0.1,0.1,1985,1985,1.2,0,5,5,5,5,1,1,1,1,1,1
3,244039.4737,0.05,0.1,0.1,1952,1952,1.2,0,5,5,5,5,1,1,1,1,1,1
4,239934.2105,0.05,0.1,0.1,1919,1919,1.2,0,5,5,5,5,1,1,1,1,1,1
5,235828.9474,0.05,0.1,0.1,1887,1887,1.2,0,5,5,5,5,1,1,1,1,1,1
6,231723.6842,0.05,0.1,0.1,1854,1854,1.2,0,5,5,5,5,1,1,1,1,1,1
7,227618.4211,0.05,0.1,0.1,1821,1821,1.2,0,5,5,5,5,1,1,1,1,1,1
8,223513.1579,0.05,0.1,0.1,1788,1788,1.2,0,5,5,5,5,1,1,1,1,1,1
9,219407.8947,0.05,0.1,0.1,1755,1755,1.2,0,5,5,5,5,1,1,1,1,1,1
10,215302.6316,0.05,0.1,0.1,1722,1722,1.2,0,5,5,5,5,1,1,1,1,1,1
11,211197.3684,0.05,0.1,0.1,1690,1690,1.2,0,5,5,5,5,1,1,1,1,1,1
12,207092.1053,0.05,0.1,0.1,1657,1657,1.2,0,5,5,5,5,1,1,1,1,1,1
13,202986.8421,0.05,0.1,0.1,1624,1624,1.2,0,5,5,5,5,1,1,1,1,1,1
14,198881.5789,0.05,0.1,0.1,1591,1591,1.2,0,5,5,5,5,1,1,1,1,1,1
15,194776.3158,0.05,0.1,0.1,1558,1558,1.2,0,5,5,5,5,1,1,1,1,1,1
16,190671.0526,0.05,0.1,0.1,1525,1525,1.2,0,5,5,5,5,1,1,1,1,1,1
17,186565.7895,0.05,0.1,0.1,1493,1493,1.2,0,5,5,5,5,1,1,1,1,1,1
18,182460.5263,0.05,0.1,0.1,1460,1460,1.2,0,5,5,5,5,1,1,1,1,1,1
19,178355.2632,0.05,0.1,0.1,1427,1427,1.2,0,5,5,5,5,1,1,1,1,1,1
20,174250,0.05,0.1,0.1,1394,1394,1.2,0,5,5,5,5,1,1,1,1,1,1
21,88000,0.05,0.1,0.1,704,704,1.2,0,5,5,5,5,1,1,1,1,1,1
