Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,221750,0.05,0.1,0.1,1774,1774,1.2,0,5,5,5,5,1,1,1,1,1,1
2,216848,0.05,0.1,0.1,1735,1735,1.2,0,5,5,5,5,1,1,1,1,1,1
3,211946,0.05,0.1,0.1,1696,1696,1.2,0,5,5,5,5,1,1,1,1,1,1
4,207045,0.05,0.1,0.1,1656,1656,1.2,0,5,5,5,5,1,1,1,1,1,1
5,202143,0.05,0.1,0.1,1617,1617,1.2,0,5,5,5,5,1,1,1,1,1,1
6,197241,0.05,0.1,0.1,1578,1578,1.2,0,5,5,5,5,1,1,1,1,1,1
7,192339,0.05,0.1,0.1,1539,1539,1.2,0,5,5,5,5,1,1,1,1,1,1
8,187438,0.05,0.1,0.1,1500,1500,1.2,0,5,5,5,5,1,1,1,1,1,1
9,182536,0.05,0.1,0.1,1460,1460,1.2,0,5,5,5,5,1,1,1,1,1,1
10,177634,0.05,0.1,0.1,1421,1421,1.2,0,5,5,5,5,1,1,1,1,1,1
11,172732,0.05,0.1,0.1,1382,1382,1.2,0,5,5,5,5,1,1,1,1,1,1
12,167830,0.05,0.1,0.1,1343,1343,1.2,0,5,5,5,5,1,1,1,1,1,1
13,162929,0.05,0.1,0.1,1303,1303,1.2,0,5,5,5,5,1,1,1,1,1,1
14,158027,0.05,0.1,0.1,1264,1264,1.2,0,5,5,5,5,1,1,1,1,1,1
15,153125,0.05,0.1,0.1,1225,1225,1.2,0,5,5,5,5,1,1,1,1,1,1
16,47250,0.05,0.1,0.1,378,378,1.2,0,5,5,5,5,1,1,1,1,1,1
