Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,168500,0.05,0.1,0.1,1348,1348,1.2,0,5,5,5,5,1,1,1,1,1,1
2,164893,0.05,0.1,0.1,1319,1319,1.2,0,5,5,5,5,1,1,1,1,1,1
3,161286,0.05,0.1,0.1,1290,1290,1.2,0,5,5,5,5,1,1,1,1,1,1
4,157679,0.05,0.1,0.1,1261,1261,1.2,0,5,5,5,5,1,1,1,1,1,1
5,154071,0.05,0.1,0.1,1233,1233,1.2,0,5,5,5,5,1,1,1,1,1,1
6,150464,0.05,0.1,0.1,1204,1204,1.2,0,5,5,5,5,1,1,1,1,1,1
7,146857,0.05,0.1,0.1,1175,1175,1.2,0,5,5,5,5,1,1,1,1,1,1
8,143250,0.05,0.1,0.1,1146,1146,1.2,0,5,5,5,5,1,1,1,1,1,1
9,139643,0.05,0.1,0.1,1117,1117,1.2,0,5,5,5,5,1,1,1,1,1,1
10,136036,0.05,0.1,0.1,1088,1088,1.2,0,5,5,5,5,1,1,1,1,1,1
11,132429,0.05,0.1,0.1,1059,1059,1.2,0,5,5,5,5,1,1,1,1,1,1
12,128821,0.05,0.1,0.1,1031,1031,1.2,0,5,5,5,5,1,1,1,1,1,1
13,125214,0.05,0.1,0.1,1002,1002,1.2,0,5,5,5,5,1,1,1,1,1,1
14,121607,0.05,0.1,0.1,973,973,1.2,0,5,5,5,5,1,1,1,1,1,1
15,118000,0.05,0.1,0.1,944,944,1.2,0,5,5,5,5,1,1,1,1,1,1
16,43250,0.05,0.1,0.1,346,346,1.2,0,5,5,5,5,1,1,1,1,1,1
