Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,142250,0.05,0.1,0.1,1138,1138,1.2,0,5,5,5,5,1,1,1,1,1,1
2,137472,0.05,0.1,0.1,1100,1100,1.2,0,5,5,5,5,1,1,1,1,1,1
3,132694,0.05,0.1,0.1,1062,1062,1.2,0,5,5,5,5,1,1,1,1,1,1
4,127917,0.05,0.1,0.1,1023,1023,1.2,0,5,5,5,5,1,1,1,1,1,1
5,123139,0.05,0.1,0.1,985,985,1.2,0,5,5,5,5,1,1,1,1,1,1
6,118361,0.05,0.1,0.1,947,947,1.2,0,5,5,5,5,1,1,1,1,1,1
7,113583,0.05,0.1,0.1,909,909,1.2,0,5,5,5,5,1,1,1,1,1,1
8,108806,0.05,0.1,0.1,870,870,1.2,0,5,5,5,5,1,1,1,1,1,1
9,104028,0.05,0.1,0.1,832,832,1.2,0,5,5,5,5,1,1,1,1,1,1
10,99250,0.05,0.1,0.1,794,794,1.2,0,5,5,5,5,1,1,1,1,1,1
11,43250,0.05,0.1,0.1,346,346,1.2,0,5,5,5,5,1,1,1,1,1,1
