Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,734540,0.05,0.1,0.1,3740,3740,1.2,0,10,10,10,10,1,1,1,1,1,1
2,851700,0.05,0.1,0.1,3620,3620,1.2,0,10,10,10,10,1,1,1,1,1,1
3,833000,0.05,0.1,0.1,3490,3490,1.2,0,10,10,10,10,1,1,1,1,1,1
4,833000,0.05,0.1,0.1,3340,3340,1.2,0,10,10,10,10,1,1,1,1,1,1
5,833000,0.05,0.1,0.1,3180,3180,1.2,0,10,10,10,10,1,1,1,1,1,1
6,833000,0.05,0.1,0.1,3000,3000,1.2,0,10,10,10,10,1,1,1,1,1,1
7,262440,0.05,0.1,0.1,972,1300,1.2,0,10,10,10,10,1,1,1,1,1,1
