Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,471000,0.05,0.1,0.1,2520,2520,1.2,0,10,10,10,10,1,1,1,1,1,1
2,553000,0.05,0.1,0.1,2510,2510,1.2,0,10,10,10,10,1,1,1,1,1,1
3,518000,0.05,0.1,0.1,2500,2500,1.2,0,10,10,10,10,1,1,1,1,1,1
4,482000,0.05,0.1,0.1,2480,2480,1.2,0,10,10,10,10,1,1,1,1,1,1
5,445000,0.05,0.1,0.1,2450,2450,1.2,0,10,10,10,10,1,1,1,1,1,1
6,408000,0.05,0.1,0.1,2420,2420,1.2,0,10,10,10,10,1,1,1,1,1,1
7,369000,0.05,0.1,0.1,2370,2370,1.2,0,10,10,10,10,1,1,1,1,1,1
8,341000,0.05,0.1,0.1,2320,2320,1.2,0,10,10,10,10,1,1,1,1,1,1
9,341000,0.05,0.1,0.1,2270,2270,1.2,0,10,10,10,10,1,1,1,1,1,1
10,341000,0.05,0.1,0.1,2200,2200,1.2,0,10,10,10,10,1,1,1,1,1,1
11,119000,0.05,0.1,0.1,548,830,1.2,0,10,10,10,10,1,1,1,1,1,1
