Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,95300,0.05,0.1,0.1,830,830,1.2,0,10,10,10,10,1,1,1,1,1,1
2,108000,0.05,0.1,0.1,780,780,1.2,0,10,10,10,10,1,1,1,1,1,1
3,108000,0.05,0.1,0.1,721,721,1.2,0,10,10,10,10,1,1,1,1,1,1
4,48500,0.05,0.1,0.1,292,460,1.2,0,10,10,10,10,1,1,1,1,1,1
