Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,199000,0.05,0.1,0.1,1340,1340,1.2,0,10,10,10,10,1,1,1,1,1,1
2,228000,0.05,0.1,0.1,1310,1310,1.2,0,10,10,10,10,1,1,1,1,1,1
3,278000,0.05,0.1,0.1,1260,1260,1.2,0,10,10,10,10,1,1,1,1,1,1
4,200000,0.05,0.1,0.1,1200,1200,1.2,0,10,10,10,10,1,1,1,1,1,1
5,200000,0.05,0.1,0.1,1140,1140,1.2,0,10,10,10,10,1,1,1,1,1,1
6,200000,0.05,0.1,0.1,1070,1070,1.2,0,10,10,10,10,1,1,1,1,1,1
7,93300,0.05,0.1,0.1,502,740,1.2,0,10,10,10,10,1,1,1,1,1,1
