Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,174000,0.05,0.1,0.1,900,900,1.2,0,10,10,10,10,1,1,1,1,1,1
2,204000,0.05,0.1,0.1,930,930,1.2,0,10,10,10,10,1,1,1,1,1,1
3,190000,0.05,0.1,0.1,950,950,1.2,0,10,10,10,10,1,1,1,1,1,1
4,176000,0.05,0.1,0.1,960,960,1.2,0,10,10,10,10,1,1,1,1,1,1
5,161000,0.05,0.1,0.1,960,960,1.2,0,10,10,10,10,1,1,1,1,1,1
6,146000,0.05,0.1,0.1,950,950,1.2,0,10,10,10,10,1,1,1,1,1,1
7,131000,0.05,0.1,0.1,940,940,1.2,0,10,10,10,10,1,1,1,1,1,1
8,115000,0.05,0.1,0.1,910,910,1.2,0,10,10,10,10,1,1,1,1,1,1
9,108000,0.05,0.1,0.1,880,880,1.2,0,10,10,10,10,1,1,1,1,1,1
10,108000,0.05,0.1,0.1,840,840,1.2,0,10,10,10,10,1,1,1,1,1,1
11,22800,0.05,0.1,0.1,226,325,1.2,0,10,10,10,10,1,1,1,1,1,1
