Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,95500,0.05,0.1,0.1,732,732,1.2,0,10,10,10,10,1,1,1,1,1,1
2,108000,0.05,0.1,0.1,730,730,1.2,0,10,10,10,10,1,1,1,1,1,1
3,96500,0.05,0.1,0.1,720,720,1.2,0,10,10,10,10,1,1,1,1,1,1
4,84500,0.05,0.1,0.1,700,700,1.2,0,10,10,10,10,1,1,1,1,1,1
5,76300,0.05,0.1,0.1,670,670,1.2,0,10,10,10,10,1,1,1,1,1,1
6,76300,0.05,0.1,0.1,630,630,1.2,0,10,10,10,10,1,1,1,1,1,1
7,15800,0.05,0.1,0.1,194,270,1.2,0,10,10,10,10,1,1,1,1,1,1
