Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,211000,0.05,0.1,0.1,1390,1390,1.2,0,10,10,10,10,1,1,1,1,1,1
2,264000,0.05,0.1,0.1,1300,1300,1.2,0,10,10,10,10,1,1,1,1,1,1
3,264000,0.05,0.1,0.1,1200,1200,1.2,0,10,10,10,10,1,1,1,1,1,1
4,145000,0.05,0.1,0.1,420,764,1.2,0,10,10,10,10,1,1,1,1,1,1
