Material Tag,Ke,?p,?pc,?ult,My,My_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,53400,0.05,0.1,0.1,584,584,1.2,0,10,10,10,10,1,1,1,1,1,1
2,55500,0.05,0.1,0.1,571,571,1.2,0,10,10,10,10,1,1,1,1,1,1
3,52100,0.05,0.1,0.1,547,547,1.2,0,10,10,10,10,1,1,1,1,1,1
4,30680,0.05,0.1,0.1,257,386,1.2,0,10,10,10,10,1,1,1,1,1,1
