Material Tag,Ke,?p,?pc,?ult,My,MY_neg,Mc/My,Mres,Ls,Lc,Lk,La,Cs,Cc,Ck,Ca,D+,D-
1,1790000,0.05,0.1,0.1,7730,7730,1.2,0,10,10,10,10,1,1,1,1,1,1
2,2130000,0.05,0.1,0.1,7640,7640,1.2,0,10,10,10,10,1,1,1,1,1,1
3,2010000,0.05,0.1,0.1,7530,7530,1.2,0,10,10,10,10,1,1,1,1,1,1
4,1900000,0.05,0.1,0.1,7400,7400,1.2,0,10,10,10,10,1,1,1,1,1,1
5,1780000,0.05,0.1,0.1,7260,7260,1.2,0,10,10,10,10,1,1,1,1,1,1
6,1730000,0.05,0.1,0.1,7100,7100,1.2,0,10,10,10,10,1,1,1,1,1,1
7,1730000,0.05,0.1,0.1,6920,6920,1.2,0,10,10,10,10,1,1,1,1,1,1
8,1730000,0.05,0.1,0.1,6730,6730,1.2,0,10,10,10,10,1,1,1,1,1,1
9,1730000,0.05,0.1,0.1,6520,6520,1.2,0,10,10,10,10,1,1,1,1,1,1
10,1730000,0.05,0.1,0.1,6290,6290,1.2,0,10,10,10,10,1,1,1,1,1,1
11,342000,0.05,0.1,0.1,1266,1618,1.2,0,10,10,10,10,1,1,1,1,1,1
